,Country,ISO3,Continent,OECD_GDP,GDP_per_Capita,Population,Life.Expectancy,Female,Male,Health.Adjusted
70,Indonesia,IDN,Asia,11054.88608,3858,263991379,69.1,71.2,67.1,62.2
71,Iraq,IRQ,Asia,NA,4958,38274618,68.9,71.8,66.2,60
72,Ireland,IRL,Europe,64732.46573,68604,4761657,81.4,83.4,79.4,71.5
73,Israel,ISR,Asia,32351.81096,39974,8321570,82.5,84.3,80.6,72.8
74,Italy,ITA,Europe,34167.74197,31618,59359900,82.7,84.8,80.5,72.8
75,Jamaica,JAM,North America,NA,5023,2890299,76.2,78.6,73.9,66.9
76,Japan,JPN,Asia,38050.0124,38550,127484450,83.7,86.8,80.5,74.9
77,Jordan,JOR,Asia,NA,5677,9702353,74.1,75.9,72.5,65
78,Kazakhstan,KAZ,Europe,NA,8585,18204499,70.2,74.7,65.7,63.3
79,Kazakhstan,KAZ,Asia,NA,8585,18204499,70.2,74.7,65.7,63.3
80,Kenya,KEN,Africa,NA,1677,49699862,63.4,65.8,61.1,55.6
81,Kiribati,KIR,Oceania,NA,1625,116398,66.3,68.8,63.7,59.1
82,Kuwait,KWT,Asia,NA,27236,4136528,74.7,76,73.7,65.8
83,Kyrgyzstan,KGZ,Asia,NA,1139,6045117,71.1,75.1,67.2,63.8
84,Latvia,LVA,Europe,24243.70336,15402,1949670,74.6,79.2,69.6,67.1
85,Lebanon,LBN,Asia,NA,11683,6082357,74.9,76.5,73.5,65.7
86,Lesotho,LSO,Africa,NA,1413,2233339,53.7,55.4,51.7,46.6
87,Liberia,LBR,Africa,NA,474,4731906,61.4,62.9,59.8,52.7
88,Libya,LBY,Africa,NA,5166,6374616,72.7,75.6,70.1,63.8
89,Lithuania,LTU,Europe,28116.83243,16443,2890297,73.6,79.1,68.1,66
90,Luxembourg,LUX,Europe,89067.29109,107708,583455,82,84,79.8,71.8
91,Madagascar,MDG,Africa,NA,412,25570895,65.5,67,63.9,56.9
92,Malawi,MWI,Africa,NA,326,18622104,58.3,59.9,56.7,51.2
93,Malaysia,MYS,Asia,NA,9659,31624264,75,77.3,72.7,66.5
94,Maldives,MDV,Asia,NA,12568,436330,78.5,80.2,76.9,69.6
95,Mali,MLI,Africa,NA,793,18541980,58.2,58.3,58.2,51.1
96,Malta,MLT,Europe,NA,27567,430835,81.7,83.7,79.7,71.7
97,Mauritania,MRT,Africa,NA,1284,4420184,63.1,64.6,61.6,55.1
98,Mauritius,MUS,Africa,NA,9671,1265138,74.6,77.8,71.4,66.8
99,Mexico,MEX,North America,17125.45803,9249,129163276,76.7,79.5,73.9,67.4
100,Mongolia,MNG,Asia,NA,3552,3075647,68.8,73.2,64.7,62
101,Montenegro,MNE,Europe,NA,7071,628960,76.1,78.1,74.1,67.9
102,Morocco,MAR,Africa,NA,3176,35739580,74.3,75.4,73.3,64.9
103,Mozambique,MOZ,Africa,NA,417,29668834,57.6,59.4,55.7,49.6
104,Myanmar,MMR,Asia,NA,1272,53370609,66.6,68.5,64.6,59.2
105,Namibia,NAM,Africa,NA,5358,2533794,65.8,68.3,63.1,57.5
106,Nepal,NPL,Asia,NA,824,29304998,69.2,70.8,67.7,61.1
107,Netherlands,NLD,Europe,47480.97489,48271,17035938,81.9,83.6,80,72.2
